condition,layer,projection,bits,context,sample_id,block_index,n_tokens,input_sha256,labels_sha256,nll,delta_nll,kl
BF16,-1,none,16,2048,0,68,2048,7fa3218d5c0877a221d93c331014b13f9b0269f66ee885045391d7f6925bc18b,8ef5a58d30706108e4424bc7fd5ead54afe73dcf5205e88fd588fe5e14ce67ba,2.4777376651763916,0.0,0.0
BF16,-1,none,16,2048,1,100,2048,727c409a44db036aaf99d9825120b8c5475979820ff1880281ca6700d93e997c,790974994d1df4ee2511c0a11d2a4b63b3f94cbc857670ebc32bd86a120c13c3,2.4532456398010254,0.0,0.0
BF16,-1,none,16,2048,2,76,2048,de5839302a1f8be2c62c604f2a574a4e959bf6b8903e83a6528c3e8615c4c71b,c10726a949d67a001e8537b229d682cb6f430e75a3868ab2eae32d9da26409f9,2.5171608924865723,0.0,0.0
BF16,-1,none,16,2048,3,140,2048,5b5fbf9ed2f90d3b56310892d916c60c1590342ea5efacb9055505dca880067b,d5207eb0c712b5e67966701a30db2e91852ae6e21ce9c45201858637c2f46300,3.066969871520996,0.0,0.0
BF16,-1,none,16,2048,4,44,2048,e83fe1126ef11362ca2c510be3b9d801a80d2ba95739f3b5bfdc1c5bdc635f58,d74147700327ce101764c03fed40a4e9745f79d073ec2b8c2585e025a259eb33,3.1258513927459717,0.0,0.0
BF16,-1,none,16,2048,5,20,2048,7297e92a528f854e162bf26846df4827597b3fef35dc0f8f0d160c27e12b82c3,3692af9e0a10e0563d9321971b56df001f57667c95cf35add673d55ed7e23fa7,2.512648105621338,0.0,0.0
BF16,-1,none,16,2048,6,63,2048,8d664704323e367f28e3fd14b1876e6e79b849e0a92a52cb7ab13e1f007648bd,010e9d87cbe94cd96a9c80e5a3acdb481237f902e2804ea887c5699d00f93f28,3.252600908279419,0.0,0.0
BF16,-1,none,16,2048,7,37,2048,43eb711a5f90c2da86caadb1f57a6d78e33dd772ea669a188885cf29a856c8a9,e94543186b5037fa285edb016058de7c6a1c24f0ec5d2694716bbc221f735ca8,2.0508577823638916,0.0,0.0
BF16,-1,none,16,2048,8,142,2048,60f0636d47d2144bac213771617e6d26b641c621ca5598aa6f94d92f168e4440,961aeef219281deb3487d874ef56d4a1feeb09133cbb127c516026756b7d403d,2.810516834259033,0.0,0.0
BF16,-1,none,16,2048,9,54,2048,f2d06d6fadbb94a6b9673c03f34c5702bc62868f6af9464c5fafaf71bb3a7452,f825257be6a05712af7879420152d60daed2ff0ae2a63a9fc03ed9511493c1f2,2.216740369796753,0.0,0.0
BF16,-1,none,16,2048,10,64,2048,309614f012e5fce8093ce5bd71979c6769344662aea1ad23a758d80708177086,5a689a9bb73117e9c73743ba89fbb373d253f702ca903217581c61da3020d81a,2.4041380882263184,0.0,0.0
BF16,-1,none,16,2048,11,82,2048,86b2e0be9829fa6afb50279461e5110faf95d29913a0b230fb6cf8d31281b03a,6e77798e36b094b40ae44b70ba876c18c99fcacb76db84d01723e016f28d9933,2.1593775749206543,0.0,0.0
BF16,-1,none,16,2048,12,125,2048,0316e0ba92bc822a1de2775956f65f0c449bd8c94ec709d81a23aad83fd15618,214473bd123f552092a6e64a2a3621184d456c2f0d32d3655533ba4c0f6adfda,2.800941228866577,0.0,0.0
BF16,-1,none,16,2048,13,25,2048,fb26dda67f40a157e5ce636f903062716d27e87ec6b75b77ae16773d4868ab89,b8c27a347ba7cd7ec1011c72802452816fdd20b467d1acf46668b8b7a5a2289e,2.7655189037323,0.0,0.0
BF16,-1,none,16,2048,14,87,2048,d26d8831d4c6979689eccc963c941dacc2bb0f37fcc3467d1cef84078b6e23b3,0e26ddd8753ff529d3768c603e1b0a8ad9517c33a7e2bc26e322019bc3e7508b,2.5108301639556885,0.0,0.0
BF16,-1,none,16,2048,15,18,2048,2ad8fea8eaecfc4553fbe62df1d5188f2ba449614bb15e7d1b2abbf345a06b25,94b444d9a3f586aa986876eb813ff24e32e2c4a560e2e6f9dece8e2df242a679,2.473024845123291,0.0,0.0
BF16,-1,none,16,2048,16,141,2048,b7ab366b5b5a4f68aee22bbff6cfe4218a75efcc7c1b2ad2456e37b059101498,2be48fd263dbe7cefc17f7bdc88170c66cc1f4be1d216141a7a3ff6912f00b41,2.667905807495117,0.0,0.0
BF16,-1,none,16,2048,17,130,2048,b62d53caadce94fd5ba6fa7cdfa65ed44699a81a82dca75cc95417b342a3c51e,a963b5699afebb47190fd1b00e793b97d22f8bde30db62ff5205aacff596f9ec,2.57650089263916,0.0,0.0
BF16,-1,none,16,2048,18,133,2048,5797ba35b7ce0b63444139260cd65066076e06aa4b806b1d02e0c8a2b0102414,5a168b747e18c2198035a699c6733e1d2599eec07a962204e9fddc525219ed30,2.5216755867004395,0.0,0.0
BF16,-1,none,16,2048,19,33,2048,d20445cc193883501468e35adfada5878439f438af3dc6844777523111576558,6954d31dd34b120c9ab2b7833f74bd5922bc512f883bc47d94195e8780302755,2.493502616882324,0.0,0.0
BF16,-1,none,16,2048,20,102,2048,57841b4586f83294fc5729b94566df9615b3b04974af798add7ae75c8b79f2d3,7724d043965d6163663a8328c72325922ec1f831eca6cf0624850025699e60d6,2.816531181335449,0.0,0.0
BF16,-1,none,16,2048,21,132,2048,ebe7817d56ad234df4deb7efb8e4a5fca5774e1b3cabc1dd0a0335618ec4961a,a959ae63e8fd1d94df13ae7ce75516b73ed0f39f5cae77994704057859fdec5f,2.5060997009277344,0.0,0.0
BF16,-1,none,16,2048,22,83,2048,0ff04edd0674d3d12caf3774f80e9155f7181b923be2ecc75eb6f9e9be756f41,618e93f2e58f4c7f136a5d1febacad4143402137b30c052b99b7179f437b5ebe,2.1719295978546143,0.0,0.0
BF16,-1,none,16,2048,23,101,2048,810951661c56ef3c1b9b659222ae0bca609f1c07f8036b9e327293da15f371aa,bc0baafb97b97d691efb2a5ec641656058353eb19aef6689403796499044ce4d,2.6006903648376465,0.0,0.0
BF16,-1,none,16,2048,24,7,2048,41e06daa2a7e37533d6fffcf2661e9e0e6bdd80a8f8d18e54bc9be26a76a054a,7e99d981947b5f318bb42da217df580bdce04d5dc13ce96e8c17a147efa7463b,2.3913631439208984,0.0,0.0
BF16,-1,none,16,2048,25,21,2048,df7e33adad9e3ede3627d728d75a1108c18befe55c36441fbfb7c356ccec116b,4f6cad4813e36d69870a7b3002cb9b847600d8e78d5f8332bc9615891ec28902,2.8807201385498047,0.0,0.0
BF16,-1,none,16,2048,26,74,2048,7cd1b0efcf370504101019d10b314309f11a37f0ead924f09da71f83a5c2c8d2,e5074e0575902b83a57eddcd2bc2ad2ad046a127acd8c395de488bf5a4166564,2.6478419303894043,0.0,0.0
BF16,-1,none,16,2048,27,97,2048,44b7b8544c5d1e2aa738d3bae9e35d03e35daafcf87431dfe3e5a2b3d77f89a0,e344c2edb60abad53141095e4f04ef9e8e97c76c5d09b77882cd28f45fdd897a,3.0354394912719727,0.0,0.0
BF16,-1,none,16,2048,28,93,2048,6eb56b8c416e857cc5bf5fffd1f31290a1b6b0d2ff1bc8a9b2f795ad6bffb602,1ca4b4b8f82c674774e1774730ba65bf017f8323e1452aebea426356f148c460,2.9952733516693115,0.0,0.0
BF16,-1,none,16,2048,29,45,2048,7907c4635e56710fea650a063d9df965f67dd0b53d4c180d3ce2eb5b79629e1c,e97f332366fcfa6a6614e78e696d91d8f8399eea6e198cb2de1f410d5e33dd20,2.9498376846313477,0.0,0.0
BF16,-1,none,16,2048,30,38,2048,2aa9ba64e24973c9ea5870ab2b2addab92242167cd079c50d5a2768033bc7fa7,c316e7dc6a4bb8b433c5c0dfce05834ba4915f0b6a5ca205ab105146837c8b39,2.1573920249938965,0.0,0.0
BF16,-1,none,16,2048,31,115,2048,c1c45b89c803ab3ea9d5d8dfd237bfa4208784fb2750e3776a8a9b49fc4abef1,533a47d55446fcf666704ba8ed23852f8e4a1d41e5f806f050c597a7f8c50c7b,2.767624855041504,0.0,0.0
BF16,-1,none,16,2048,32,8,2048,07e7acf1c60a54d81f6df25c939b3b21ed695fd2fb59caed81916f0c4f707356,bdeb930a4207b8ff5ff249d0f3ee6fcde3dc58085c4bbde6b433293cf0a61273,2.623312473297119,0.0,0.0
BF16,-1,none,16,2048,33,116,2048,f959970dde811e8c8e5d861c0903e42b89f09c24b19135c8152fa01642bb81a2,0685a518770b23c4d3f80b498a001c334920e67e44d40a9150eda130137865b9,2.9256672859191895,0.0,0.0
BF16,-1,none,16,2048,34,72,2048,f2c268e2e4089895cc36a0409f7f1f891887db3508bf22e9148a4b702f12a668,b0b619b31d20f2c29dbb766b917dbd86b8a50afb135e168b3734540ca9c9fb35,2.982614040374756,0.0,0.0
