condition,projection,bits,context,sample_id,block_index,n_tokens,input_sha256,labels_sha256,nll,delta_nll,kl
BF16,none,16,512,0,68,512,ae16cd2f87fc656abc0929021075a3b9ed61f3e88b34184754e7dbebd76ec193,08256215c109e87d3a72dfa0489d9857afb1e4c873b20a9855050de5b59437da,2.7769124507904053,0.0,0.0
BF16,none,16,512,1,100,512,3b744cfa8d587e08d920606f255dd1689ab24c6276571e94ed0b74be1d01de43,25713b5578546ce636ce43536d8158b6f6a73a191cc66a03ed5b11784e21cc6e,3.056786060333252,0.0,0.0
BF16,none,16,512,2,76,512,218ba9a35776a953f13e4b544faf23f37bab2530c1aa178ce5a18da6c78482be,7d3c80f663038307dc13a0f815e3778b452a435ba7d496806dbdf330ceac3ee0,2.8421363830566406,0.0,0.0
BF16,none,16,512,3,140,512,99ad214b32ceb627ad7dcd26e7c4b968490d2921509ce77b169fa235b400825c,7671c21d03fc9a4d83c7f723cfcf939130c01a6c7b3ec7823dc31d6e7263d943,2.968801975250244,0.0,0.0
BF16,none,16,512,4,44,512,bfa95e7ec878842678803ae23d2a234a823eec1ccce4b61c63bedfe94615385d,c456c6ec69e7331b0b7c013a7377a60f693e7e74eac82c3aaa340066e042521b,3.8699097633361816,0.0,0.0
BF16,none,16,512,5,20,512,0df6561709ae94fbe1d725835527b1025919ec0d4988ff7390e6b4617d148a0d,c1783a1aecf214b8e69bb00cdb61ea0e1823f8dc33e50cc8bd98e00de72b6314,2.196165084838867,0.0,0.0
BF16,none,16,512,6,63,512,cb419afdeacc3f41a32badc0ebb2d0c499e6e00d780641ce39716478df0a20e5,861412028ae1bd379cc93139160cd0d9e6758e84f6347e077159c88cd83c7061,3.6879658699035645,0.0,0.0
BF16,none,16,512,7,37,512,b8ac611453ddedc7866701f4724f89e267e033102f94cf1edc0fcef046767649,0ab46fccff21d8f4768f9458aac7ecca09d52c8a0f59b5124e1bb1c281128eb8,2.4547877311706543,0.0,0.0
BF16,none,16,512,8,142,512,3b878cc815eb2fd63fd166af88f34400e0044851af5f0199430452887354c73b,c6fc77e555e59488c7bf941f5fe2ddf1203ec29adba7ea64e262b9c61c8b3c04,2.718925714492798,0.0,0.0
BF16,none,16,512,9,54,512,c86b7db60afbc145d9762cf4ed3e9d4a646ab6beb6888ab76dfea844037ee385,d4e2357b45c895a3837df5ed504ec9c958364adcd1982e5bfdda624264699066,2.846531391143799,0.0,0.0
BF16,none,16,512,10,64,512,beaec156fbaa2cc61d2299fa20f7f0d8a42d1931fb6ef189b1b57fd78698a8bc,d7a22ad9f4026fab50e53fc63eb8fa8ff3164267a997dcdc6f31facd73d14233,3.177995443344116,0.0,0.0
BF16,none,16,512,11,82,512,a87dcf72965b9fd725594e983ccccafbff1f57504062f003d18769489fd7ea8e,3751210f5da4d56983a9edb710506df1239958a2a8a36654f223f62d48233904,2.5608012676239014,0.0,0.0
BF16,none,16,512,12,125,512,ed4bc71e91b94bde605bf581c65860792a6c1e2992d889ac41c403096d155785,f67585beb4a8cdd5b8b31e251d29a7e09279f0d0a355c4d8cd90b11071355aa5,2.5527422428131104,0.0,0.0
