condition,layer,projection,bits,context,blocks,scored_tokens,nll,ppl,delta_nll,delta_nll_ci_low,delta_nll_ci_high,kl,kl_ci_low,kl_ci_high
BF16,-1,none,16,2048,64,131072,2.6223619803786278,13.768205440323287,0.0,0.0,0.0,0.0,0.0,0.0
L00_WQ4,0,WQ,4,2048,64,131072,2.622238263487816,13.766502186116979,-0.00012371689081192017,-0.0007111997809261083,0.00048769693821668563,0.0012198386748423218,0.0011330948830391208,0.0013413689471917678
L00_WK4,0,WK,4,2048,64,131072,2.622112426906824,13.764769965540307,-0.00024955347180366516,-0.0008923478424549102,0.0004341581836342811,0.0011752425216400297,0.001093447295625083,0.0013077933508384375
L00_WV4,0,WV,4,2048,64,131072,2.623072050511837,13.777985303577834,0.0007100701332092285,-0.0001003120094537735,0.001503768283873796,0.0019874357149092248,0.0018157240812797682,0.002205799330704394
L01_WQ4,1,WQ,4,2048,64,131072,2.622627252712846,13.771858248791528,0.0002652723342180252,-0.00025205290876328945,0.0007914904505014419,0.0011131444589409512,0.0010007427161781378,0.0012745682887043584
L01_WK4,1,WK,4,2048,64,131072,2.622500551864505,13.770113453204049,0.00013857148587703705,-0.0004040747880935669,0.0007267781998962163,0.0010327484778827056,0.0010040650789960638,0.0010683028497624036
L01_WV4,1,WV,4,2048,64,131072,2.622543243691325,13.770701337051719,0.00018126331269741058,-0.00045772246085107327,0.000841839704662561,0.0013500490686055855,0.0012006122204638813,0.0015514969939658839
L02_WQ4,2,WQ,4,2048,64,131072,2.6229404620826244,13.776172399415243,0.0005784817039966583,0.00011823885142803192,0.0010558950714766979,0.0011149276988362544,0.0010377233523740869,0.0012403465323586715
L02_WK4,2,WK,4,2048,64,131072,2.622987151145935,13.776815611015934,0.0006251707673072815,0.00011293962597846986,0.0011696981266140938,0.0011288564001006307,0.001045238263191095,0.0012571353301837006
L02_WV4,2,WV,4,2048,64,131072,2.622287705540657,13.767182847072002,-7.427483797073364e-05,-0.0006895926780998707,0.0005828573368489736,0.0012232564240548527,0.0011222751529430751,0.001378491865170872
L03_WQ4,3,WQ,4,2048,64,131072,2.621728044003248,13.759480040037491,-0.0006339363753795624,-0.001125158742070198,-0.0001261793076992035,0.0012570958160722512,0.001068991780334727,0.0015490721647438473
L03_WK4,3,WK,4,2048,64,131072,2.622539361938834,13.77064788270125,0.00017738156020641327,-0.00025780959986150266,0.0006394299678504467,0.0012048181242789724,0.001092598566765446,0.00136217806877994
L03_WV4,3,WV,4,2048,64,131072,2.6235740929841995,13.784904174021905,0.0012121126055717468,0.000389348529279232,0.002020164672285318,0.001445224186682026,0.001381459879621616,0.0015201542296381376
L04_WQ4,4,WQ,4,2048,64,131072,2.622824002057314,13.77456811944798,0.00046202167868614197,-9.631933644413947e-05,0.0010642966255545617,0.0011515112209963263,0.001049856317627018,0.0013140367409505414
L04_WK4,4,WK,4,2048,64,131072,2.622031655162573,13.763658205960958,-0.0003303252160549164,-0.0008372459560632706,0.00017736013978719687,0.0012341363426457974,0.0010859222288218007,0.0014385329517835996
L04_WV4,4,WV,4,2048,64,131072,2.6226467303931713,13.772126495256387,0.0002847500145435333,-0.0003066845238208771,0.0008565554395318027,0.0012141684601374436,0.0011731964689715823,0.0012542353057142463
L05_WQ4,5,WQ,4,2048,64,131072,2.6227987240999937,13.77421993090372,0.00043674372136592865,-8.266810327768326e-05,0.0009726088959723711,0.001233939658050076,0.001124100322067534,0.001416772326501814
L05_WK4,5,WK,4,2048,64,131072,2.622507756575942,13.770212663255327,0.0001457761973142624,-0.00032230550423264506,0.0006192390806972979,0.0011488819400256034,0.001072637238144125,0.0012652336396513418
L05_WV4,5,WV,4,2048,64,131072,2.6230566650629044,13.77777332471925,0.0006946846842765808,9.948015213012697e-06,0.0013938796706497666,0.001388793690239254,0.0012630810304926853,0.0015524587712206993
