layer,contrast,metric,mean,ci_low,ci_high
0,WQ - WK,delta_nll,0.000125836580991745,-0.0005570084322243929,0.000806800927966832
0,WQ - WK,kl,4.4596153202292044e-05,-5.626474035125284e-06,9.498505564806677e-05
0,WQ - WV,delta_nll,-0.0008337870240211487,-0.001626037759706378,-3.302581608295542e-05
0,WQ - WV,kl,-0.000767597040066903,-0.0009345255405378339,-0.0006338007814974845
0,WK - WV,delta_nll,-0.0009596236050128937,-0.0017065202817320823,-0.0002624680288136006
0,WK - WV,kl,-0.000812193193269195,-0.0009933747917330038,-0.0006826981301855995
1,WQ - WK,delta_nll,0.00012670084834098816,-0.0003648260608315468,0.0006174458190798756
1,WQ - WK,kl,8.039598105824552e-05,-2.1645384163093694e-05,0.0002258467097590255
1,WQ - WV,delta_nll,8.400902152061462e-05,-0.0006141224876046181,0.0007992524653673171
1,WQ - WV,kl,-0.00023690460966463434,-0.00031924244115089095,-0.00017134216809608916
1,WK - WV,delta_nll,-4.2691826820373535e-05,-0.0006305117160081864,0.0005212593823671332
1,WK - WV,kl,-0.00031730059072287986,-0.0005019498479214235,-0.000180216618355189
2,WQ - WK,delta_nll,-4.668906331062317e-05,-0.0006587690673768521,0.0005276268348097799
2,WQ - WK,kl,-1.3928701264376286e-05,-4.5138302084524184e-05,1.840690874814753e-05
2,WQ - WV,delta_nll,0.000652756541967392,-4.220139235258102e-05,0.0013177316635847075
2,WQ - WV,kl,-0.00010832872521859827,-0.00015218070209357392,-6.868501079679848e-05
2,WK - WV,delta_nll,0.0006994456052780151,7.199803367257118e-05,0.001357594970613717
2,WK - WV,kl,-9.440002395422198e-05,-0.00014182642353262055,-5.199783076932365e-05
3,WQ - WK,delta_nll,-0.0008113179355859756,-0.0013261680956929921,-0.0002503411378711464
3,WQ - WK,kl,5.227769179327879e-05,-4.665155986458558e-05,0.00021504861522316776
3,WQ - WV,delta_nll,-0.0018460489809513092,-0.0026750802993774415,-0.0009408752433955671
3,WQ - WV,kl,-0.00018812837060977472,-0.00037775745493036085,0.00010581508947780042
3,WK - WV,delta_nll,-0.0010347310453653336,-0.0018456333316862583,-0.00016163238324224988
3,WK - WV,kl,-0.0002404060624030535,-0.0003758376768018934,-6.818215410930878e-05
4,WQ - WK,delta_nll,0.0007923468947410583,0.0002417314797639847,0.001312230061739683
4,WQ - WK,kl,-8.262512164947111e-05,-0.00020768447893715347,2.921020950452615e-06
